,comment,comment_id,reply_count,like_count,updated_at,calificacion
0.0,"Have been practicing with you (almost every day) since June 2016, right after I graduated from secondary school, and I am so, so excited to go on this journey with the community. This year will be the year where I apply to university and this is the ultimate way for me to begin this very exciting year. Yesterday my father asked if he could join me for a YWA video, and now he wants to join me on this 30 day journey, all thanks to you. Thank you Adriene for the love, laughs, tears and strength you give all of us. We love you. Love from Sweden.",UgxGi9ZtcHpddUSPIg14AaABAg,4.0,330.0,2018-01-01T20:03:24Z,0.9998477697372437
1.0,"exciting, 2021 december, im starting this 30 day challenge now",UgxQSy4qtxaQl9Xx_g54AaABAg,0.0,0.0,2021-12-20T17:42:33Z,0.998171329498291
2.0,Starting this November of 2021 :) around march of 2020 I put the settings on your profile from oldest to newest and started watching 1 vid per day and I have loved it and everything I know about yoga is from you Adriene I feel like you explain things so we’ll and you’ll have me cracking up half the time 😂 excited for this new 30 day challenge :),UgxZqSdhwDonx9c6o914AaABAg,0.0,0.0,2021-11-21T15:32:02Z,0.9993337988853455
3.0,"My samkalpa, believe in my strenght. Namaste.",Ugx1FFWW9wyijmERIZd4AaABAg,0.0,0.0,2021-11-08T06:06:30Z,-0.9715533256530762
4.0,this was my first yoga with adriene video,Ugwo2va98DsEs7UgQkB4AaABAg,0.0,2.0,2021-10-23T18:04:33Z,0.9639114141464233
5.0,"Today I finish revolution, my 3rd 30 day challenge with you!! I’m thrilled to start true tomorrow!! Everything has improved!!❤️❤️",Ugw5xCw1x62Qw3sbZCp4AaABAg,0.0,0.0,2021-10-07T22:41:10Z,0.9998158812522888
6.0,It is absurd how great just listening to you makes me feel. I’m loving this challenge!,UgwABVcPgHefRxW5QTN4AaABAg,0.0,0.0,2021-10-04T19:48:45Z,0.9997062087059021
7.0,"So happy to be doing yoga with all of you out there. Thank you Adriene for making me see, what yoga really is about and getting to like and accept it. Greetings from Denmark.",UgysRlmOOwITzbCs3_N4AaABAg,0.0,0.0,2021-08-12T09:13:36Z,0.9998569488525391
8.0,will likely be my second time doing this journey,UgyE2GELyxNB2xq6Qpp4AaABAg,0.0,0.0,2021-06-24T01:35:12Z,0.9966592788696289
9.0,Would you please a 30days belly fat losing yoga challenge?,UgxMPhfs1JqSEr1rLCx4AaABAg,0.0,0.0,2021-06-03T20:24:42Z,-0.9904500842094421
