Unnamed: 0,channel_title,title,description,published,tag_count,view_count,viewer_percentage,estimated_min_watched,avg_view_duration,avg_view_percentage,like_count,dislike_count,share_count,comment_count,duration_str,duration_num,aud_watch_ratio,relative_retention_performance,title_length,reactions,tags
0,Yoga With Adriene,TRUE - 30 Day Yoga Journey  |  Begin!,"Kick-off the New Year with 30 Days of Yoga With Adriene!

- - - - - -

#30daysofyoga #ywatrue #homeyoga

  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2017-12-22T15:09:26Z,23,2223866,0,0,0,0,20486,0,0,1684,03:29:00,3.4833333333333334,0,0,37,23854,"yoga,30 day yoga challenge,30 days of yoga,yoga camp,yoga revolution,yoga to lose weight,yoga at home,weight loss yoga,yoga for weight loss,free yoga,free yoga videos,online yoga class,online yoga,yoga (sport),adriene mishler,yoga for beginners,adriene yoga,yoga with adriene 30 days of yoga,yoga workout,yoga with adrienne,at home yoga,yoga challenge,weight loss challenge"
1,Yoga With Adriene,True  |  Orientation  |  Yoga With Adriene,"New Year, TRUE YOU! Today is orientation day! Below is a shortlist of things you might like to do to make the most of this experience! Make it your own and Find What Feels Good. I love you. I got your back. Let's do this. Happy New Year!

1. Sign up for email component and calendar at https://do.yogawithadriene.com/true

2. Subscribe to this YouTube channel if you haven’t already. 

3. Join the private online community here for accountability, inspiration, and laughs. There is a dedicated circle for the 30 Day Journey!  www.fwfgkula.com 

4. Write down a little intention, if you like. Remember, showing up is the hardest part. Once you get on your mat - I got your back. 

5. Share with your friends! It’s free, it’s fun and it connects you to your true self while connecting to humanity. Beautiful. 

6. Tell us where you are from and how you are feeling in the comment section down below!

Use #YWATRUE to share your experience!

- - - - - -

TRUE - DOWNLOADABLE EDITION: donation based downloadable versions of the videos so you can practice anytime, anywhere: https://do.yogawithadriene.com/ 

#30daysofyoga #ywatrue #homeyoga

  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2018-01-01T08:00:01Z,29,774680,0,0,0,0,15944,0,0,3566,02:19:00,2.316666666666667,0,0,42,23076,"yoga,yoga with adriene,30 days of yoga,30 Day yoga challenge,TRUE 30 Days Of Yoga,at home yoga,free yoga,yoga practice,yoga for stress releif,yoga for depression,yoga for back pain,new years day,wellness,fitness,health,yoga journal,yoga every damn day,yoga life,yoga for weight loss,yoga breathing,adriene mishler,30 day challenge,yoga for beginners,yoga at home,yoga (sport),yoga workout,morning yoga,total body yoga,home yoga practice"
2,Yoga With Adriene,TRUE - Day 1 - MOTIVE  |  Yoga With Adriene,"TRUE - DAY 1 - MOTIVE

Take a deep breath in. 

We are doing this. 

We begin by setting the tone with a gentle and foundational practice. It’s 24 minutes of solid set up for you to dip your toes in and lean into learning. 

This series will offer strength and stability like no other if you remember you are here to learn and love yourself. 

More. 

Not to work out. 

But, expect to see transformation in your body! Oh yes, you will!

Welcome my friend, it’s Day 1. 

Today’s theme is MOTIVE.

 ~ Share with us your motive down below! What is your reason for committing to TRUE? 

#YWATRUE

- - - - - -

#30daysofyoga #ywatrue #homeyoga


- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2018-01-02T08:00:04Z,20,3130801,0,0,0,0,45690,0,0,5222,1900-01-01 00:59:00,24.983333333333334,0,0,43,56134,"yoga,yoga with adriene,30 days of yoga,30 day yoga challenge,TRUE 30 days of yoga,at home yoga,free yoga,yoga practice,wellness,fitness,health,yoga for weight loss,yoga life,adriene mishler,TRUE day one,30 day challenge,yoga for beginners,yoga workout,motive,motivation"
3,Yoga With Adriene,TRUE - Day 2 - TRUST  |  Yoga With Adriene,"TRUE - DAY 2 - TRUST

Welcome my friend, it’s Day 2. 

Today’s theme is TRUST.

Yesterday we got our legs. Today we commit to trust. Trust me, trust yourself, trust the process. Start to breathe a little deeper and more fully. Use your breath to support you when things feel challenging. 

Stick with it. Adjust, don't give up!*

Be kind. Listen. 

 ~ Is Trust important to you? Let me know how it goes down below!

#YWATRUE

- - - - - -

#30daysofyoga #ywatrue #homeyoga

  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2018-01-03T08:00:03Z,32,1865834,0,0,0,0,22413,0,0,2539,1900-01-01 12:13:00,36.21666666666667,0,0,42,27491,"yoga,yoga with adriene,30 day challenge,30 days of yoga,fitness,wellness,health,adriene mishler,yoga workout,yoga for beginners,TRUE day 2,free yoga,at home yoga,yoga practice,TRUE 30 days of yoga,30 days yoga challenge,yoga life,yoga for stres relief,yoga for depression,yoga mantra,mantras,affirmations,trust,meditation,yoga journal,yogi,yoga for healing,hatha yoga,iyengar yoga,yoga flow,vinyasa yoga,yoga with dogs"
4,Yoga With Adriene,TRUE - Day 3 - STRETCH  |  Yoga With Adriene,"TRUE - DAY 3 - STRETCH

When we are younger most are blessed with delightful natural mobility!

We fall with grace and pick ourselves up with ease. 

As we get a bit older things can get tight leading to tension and aches. 

All over. 

Today’s practice embraces the stretch, the sensation, and the “ahhhh!”

DAY 3 YOGA - STRETCH 

#YWATRUE 

- - - - - -

#30daysofyoga #ywatrue #homeyoga

  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2018-01-04T08:00:06Z,25,1982043,0,0,0,0,22091,0,0,2075,1900-01-01 10:34:00,34.56666666666666,0,0,44,26241,"yoga,30 days of yoga,30 day challenge,30 day yoga challenge,TRUE 30 days of yoga,fitness,wellness,health,yoga for weight loss,yoga for beginners,TRUE day 3,adriene mishler,at home yoga,free yoga,yoga practice,yoga life,yoga with adriene,yoga for flexibility,yoga stretch,yoga for back pain,yoga for athletes,yoga for neck and shoulders,yoga for mobility,yoga for tension,stress relief"
5,Yoga With Adriene,TRUE - Day 4 - FLOOR  |  Yoga With Adriene,"TRUE - DAY 4 - FLOOR

Day 4 Yoga is a hands-free low to the ground practice that builds on the foundation you have set in the journey so far! 

With the support of the earth, your FLOOR practice deepens your relationship to body awareness and breath to create an experience that serves. 

Today we work on cultivating an experience that integrates the full body. Happy exploring! 

""The mat is a mirror.""

Breathe deep!

Let me know how your practice went down below! 

Namaste. 

#YWATRUE

- - - - - -

#30daysofyoga #ywatrue #homeyoga

  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2018-01-05T08:00:02Z,19,1399549,0,0,0,0,17303,0,0,1892,1900-01-01 09:26:00,33.43333333333333,0,0,42,21087,"yoga,yoga with adriene,30 days of yoga,30 day yoga challenge,TRUE 30 days of yoga,adriene mishler,fitness,wellness,yoga for weight loss,yoga for beginners,30 day challenge,at home yoga,free yoga,yoga practice,health,yoga life,hands free yoga,yoga for wrists,floor based yoga"
6,Yoga With Adriene,TRUE - Day 5 - HIGH  |  Yoga With Adriene,"TRUE - DAY 5 - HIGH

Today we use yoga and pranayama to light it up. 

Your Day 5 yoga practice is designed to gently stimulate and awaken. As we continue to build our vocabulary, today we focus on synchronizing the breath with the movement. Circulate energy, or prana, and unlock some mojo you have been missing!

This practice sets the stage for you to begin to break up stagnant energy and patterns. Be true to your breath. Experiment. Explore. I will guide you! Just get on that mat. 

Foundations Of Ujjayi Breath: https://www.youtube.com/watch?v=IQrsJ-yZWV8

#YWATRUE
I'm trying to catch the beat, uh
I'm trying to catch the beat
I'm trying to catch the beat, uh uh, uh
I'm trying to catch the beat

- - - - - -

#30daysofyoga #ywatrue #homeyoga

  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2018-01-06T08:00:01Z,30,1275317,0,0,0,0,15634,0,0,1600,1900-01-01 00:59:00,24.983333333333334,0,0,41,18834,"yoga,yoga with adriene,30 days of yoga,TRUE 30 days of yoga,30 day yoga challenge,health,wellness,fitness,30 day challenge,at home yoga,free yoga,yoga practice,TRUE day 5,yoga life,adriene mishler,yoga for weight loss,yoga flow,vinyasa yoga,yogi,yoga workout,yoga for beginners,pranayama,breath techniques,kundalini yoga,yoga for back pain,yoga for energy,yoga for healing,yoga for brain,yoga for natural high,breath of fire"
7,Yoga With Adriene,TRUE - Day 6 - KINDLE  |  Yoga With Adriene,"TRUE - DAY 6 - KINDLE

Day 6 - Kindle. Ignite the muscles of your core. 

Get centered as you get strong. 

Consider the practice of spiraling inward toward your core values and what matters most. 

Not just mindless ab workouts. 

Meet your appropriate edge today. Do your best and remember this is about spending quality time exploring your connection to your body and your breath. The strength comes from that. 

Light the fire! 

You got this!!!!!!!!!!!!!!!!!!!!!!!!!

#YWATRUE

- - - - - -

#30daysofyoga #ywatrue #homeyoga

  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2018-01-07T08:00:01Z,31,1349880,0,0,0,0,16009,0,0,1542,21:24:00,21.400000000000002,0,0,43,19093,"yoga,yoga with adriene,adriene mishler,30 days of yoga,30 days of yoga challenge,TRUE 30 days of yoga,30 day challenge,health,wellness,fitness,at home yoga,free yoga,yoga practice,TRUE day 6,yoga life,abs,ab workout,yoga for weight loss,yoga for abs,workout,yoga workout,yogi,yoga strength,yoga core,core work out,yoga abs,abdominal work out,core strength yoga,core power yoga,yoga for core strength,yoga for back"
8,Yoga With Adriene,TRUE - Day 7 - SALUD |  Yoga With Adriene,"TRUE - DAY 7 - SALUD

Today's yoga practice invites sun salutations and a mindful vinyasa, or yoga flow. 

We get the heart rate up and focus on insight through repetition. 

Also, a great practice to refocus the mind and keep you on track for your journey! (Just in case the mind is busy or playing tricks on you.) Stick with it! You got this. 

Cheers to your health!

Is there something that you can bow to, toast to here at the one week mark? Tell me below! 

#YWATRUE


- - - - - -

#30daysofyoga #ywatrue #homeyoga

  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2018-01-08T08:00:03Z,29,1059163,0,0,0,0,13492,0,0,1550,1900-01-01 01:06:00,25.1,0,0,41,16592,"yoga,yoga with adriene,adriene mishler,30 days of yoga,30 day challenge,30 days of yoga challenge,TRUE 30 days of yoga,fitness,wellness,health,yoga practice,free yoga,yoga life,at home yoga,yoga workout,TRUE day 7,balance,yoga for balance,yoga for stability,yogi,vinyasa,yoga flow,yoga for weight loss,yoga for beginners,cardio yoga,sun salutations,yoga for focus,yoga meditation,yoga journal"
9,Yoga With Adriene,TRUE - Day 8 - SALVE  |  Yoga With Adriene,"TRUE - DAY 8 - SALVE

Day 8 - SALVE is a 30 min at-home yoga practice to soothe your mind, body, and precious soul. A relaxing day to balance and restore!

Also known as Day 8 - Don't hate. Meditate. Feel Great. 

Today's practice is a yummy and restorative session. Continue to build awareness with this therapeutic self-love yoga practice. ENJOY!!!

Grab a blanket and pillow for this one!

#30daysofyoga #ywatrue #homeyoga

- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com",2018-01-09T08:00:07Z,30,1145504,0,0,0,0,14210,0,0,1562,1900-01-01 05:59:00,29.98333333333333,0,0,42,17334,"yoga,yoga with adriene,adriene mishler,yoga stretch,gentle yoga,wellness,health,TRUE 30 Days of yoga,30 days of yoga,30 Day Challenge,yoga practice,free yoga,yogi,TRUE Day 8,yoga life,at home yoga,stretch,restorative yoga,meditation,yoga meditation,yoga for healing,beginners yoga,yoga for relaxation,yoga for self confidence,yoga for stress relief,mindfulness,free yoga videos,hatha yoga,pranayama,yoga breathing"
