,comment,comment_id,reply_count,like_count,updated_at,calificacion
0.0,"I had a couple long, physically demanding days and today woke up feeling like I'd been run over by a truck. My body feels like it weighs a thousand pounds. As I went through the video, I kept veering away to freestyle into what my body feels like it needed. I don't usually comment, but I wanted to say this was a testament to the wonderful attitude you cultivate on this channel and in your videos that I felt empowered to do so. And not only that I felt empowered to break away, but that it felt right to do so. That I felt like I was honoring my body, where I would normally feel guilty that I was cheating because I didn't want to do the hard stuff. So thank you, Adriene! Today I found what feels good.",UgxrQWkrtkvUW7R2_Hd4AaABAg,0.0,0.0,2022-01-29T22:18:40Z,0.9992436170578003
1.0,Today's practice is dedicated to Adriene and her 'partner!',Ugxm7W8xUgV3dhACdld4AaABAg,0.0,1.0,2021-12-19T21:40:01Z,0.9992258548736572
2.0,Gratitude is the best attitude 😎 I am reading When Things Fall Apart by Pema Chodron! Great book on mindfulness and staying the present moment :) it is a gift that is why it is called the present 🎁 💝 if you wrote a book Adriene I would totally read it 💕💋❤,UgyPGwAH6Pte775l7PV4AaABAg,0.0,0.0,2021-12-04T23:36:38Z,0.9996329545974731
3.0,"Day 27, I am grateful for all that I have and all that is coming my way that I don’t even know. I’m grateful for life, my family and closest friends. Namaste 🙏🏽 ✅",UgzzLXUC4Z9ghMCani54AaABAg,0.0,0.0,2021-12-04T14:04:29Z,0.9995375871658325
4.0,Dune by Frank Herbert.and the next 5 books in the series is my fav syfi book. Lonesome Dove and any other book by Larry McMurtry.,UgwjsJLnGNLW5XYnYE14AaABAg,0.0,0.0,2021-11-19T20:01:05Z,-0.9513010382652283
5.0,"WoW! I was expecting a slow relaxed practice for some reason and got my butt kicked haha in a good way if corse 😁

❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️",UgxcYnMs8HyvBcxXBKl4AaABAg,0.0,0.0,2021-10-27T02:59:53Z,0.9816949367523193
6.0,My favorite book is called The Ellis Island Immigrants....so fascinating!,UgwPKLow7VrkI4kOIvF4AaABAg,0.0,0.0,2021-10-26T21:12:36Z,0.9996957778930664
7.0,Another brilliant guided practice 🙏🏻 ❤️,UgymZUkxJqOM7JHGLzZ4AaABAg,0.0,0.0,2021-10-23T00:51:44Z,0.9997689127922058
8.0,🙏❤️,UgyJQyyCRM0Bac-cM-N4AaABAg,0.0,0.0,2021-10-22T02:10:59Z,-0.6970567107200623
9.0,"Soooo many downdogs!! That's ok, I'm up for a challenge today!",Ugw2r3TKqxnMQLcR7iZ4AaABAg,0.0,0.0,2021-10-12T17:03:08Z,0.9995556473731995
10.0,Perfect mantra for me today as yesterday my beloved dog passed away. I am grateful for the 14 years of love and memories that we enjoyed together ❤️,Ugx3yEEcTjI0J1RIAnN4AaABAg,1.0,1.0,2021-09-29T10:42:45Z,0.9996500015258789
11.0,day 275 of daily yoga :) Started on 27th Dec 2020. It's been 9 months!,UgzatPrkioT8qRScgVp4AaABAg,0.0,1.0,2021-09-27T15:27:05Z,-0.8015400767326355
12.0,"Fabulous practice again, Adriene ! Thx so much. Today I‘m deeply impressed about how you can be so wise, recommending a grateful attitude in hard times, and have auch a great humour at the same time (already kept cracking up laughing yesterday when you suggested to lift by lying on small children 🤣)! Looking forward to the days to come ! Ciao from Birgit (Germany, on holidays in Italy at the moment)",UgyGdpIjzG1Mxnx2mmt4AaABAg,0.0,0.0,2021-09-17T09:20:04Z,0.9998014569282532
13.0,"Best book I read is Sapiens, A short story of humankind. And What the Bleep do we know. 👀",Ugygt4RDOFZKS6FMYuh4AaABAg,0.0,0.0,2021-09-17T02:53:53Z,0.9970850348472595
14.0,thank you!!!!!,Ugz4d7FTGqqUoo1qXvd4AaABAg,0.0,1.0,2021-08-29T22:19:14Z,0.9998663663864136
15.0,Today's yoga was tiring... I feel exhausted,UgyNfG8TpszsHIoo_ot4AaABAg,0.0,0.0,2021-08-28T04:54:00Z,-0.9995400905609131
16.0,"Cant help but become emotional when I think of all that I am grateful for! This yoga journey is so powerful, cannot believe I'm already on day 27 of my 2nd 30 day yoga journey 🙏",UgzD0ZVaMXbdzDNSEfN4AaABAg,0.0,0.0,2021-08-27T22:16:58Z,0.9994055032730103
17.0,"“The Game” by Terry Schott. I’ve read the whole series multiple times. It reminds me that life is just a game and I should be playing it. That, and “The Secret” by Rhonda Byrne. All about the Law of Attraction. That book changed my life!",UgzN991r9xRiT0TXYK94AaABAg,0.0,0.0,2021-08-07T17:48:34Z,0.9710263013839722
18.0,I have never before been able to hold half split pose until this practice today. It's been such a wonderful journey for me mentally and physically practicing with you. I'm grateful for having discovered your videos and my passion for yoga.,UgzrerIFfacEMBlexkx4AaABAg,0.0,0.0,2021-07-19T15:27:21Z,0.9998001456260681
19.0,this kicked my ass today but I'm grateful to be able to lower myself down gracefully in a vinyasa rather than belly-flopping!,Ugw1eQ8rQTnSJliq9XZ4AaABAg,0.0,0.0,2021-07-13T09:49:47Z,0.9973287582397461
20.0,Namaste 🙏🙏 book is the thief book 📕,UgwWFSP5u6E1e9D5ePh4AaABAg,0.0,0.0,2021-07-12T02:48:15Z,-0.9627580642700195
21.0,"Adrienne, my favorite book is three magic words by US ANDERSEN, This book changed my life and I am as grateful for finding this as I am for you. You have changed me with your lovely yogi skills for the better, please add this book to your collection, sending you all the love in the world ❤️",UgzE4LdE0XaB4S9eHSJ4AaABAg,0.0,1.0,2021-07-06T02:49:12Z,0.9998189806938171
22.0,today I am grateful for Addrienne's generoustiy. Yoga camp is the third 30 days I have done and I feel so good. thank you :-),UgxEmiqcZtfmO20rq-54AaABAg,0.0,1.0,2021-06-26T10:02:02Z,0.9998739957809448
23.0,Favorite book;  Jane Eyre (have read it 8 times.) 2nd favorite is Pride & Prejudice (have read it 10 times.) Favorite yoga teacher:  Adriene!! I do yoga every day now thanks to your addictive videos! 😁❤️😁,Ugy9T11FYkICRy2siIJ4AaABAg,0.0,0.0,2021-06-24T22:07:25Z,0.9984627962112427
24.0,"The book I am currently reading is ""Breaking the habit of being yourself"" from De. Joe Dispenza. It really is a life changer ✨💖",UgxgAUcmNHkhGYu15Il4AaABAg,0.0,0.0,2021-06-10T14:46:39Z,0.9974762797355652
25.0,I am grateful for these yoga videos.. Namaste!,UgyXOyxGaWQJoxOfBYF4AaABAg,0.0,0.0,2021-05-28T07:29:15Z,0.999030351638794
26.0,Sending lots of gratitude to you Adriene 🙏🏻,UgxJ2zilbnUntIgDjTl4AaABAg,0.0,0.0,2021-04-19T06:15:05Z,0.9998077750205994
27.0,no any new movement .,UgwBred-q4p8uxuUkxh4AaABAg,0.0,0.0,2021-04-14T12:17:30Z,-0.9986816048622131
28.0,"My day 87! So grateful to myself for being able to commit to this practice for so long.
Today I got my COVID-19 jab and afterwards was feeling a bit low on energy and my arm was quite sore (even considered skipping this day). However the stregth I have built over these days helped me get through this practise with ease.
Thank you Adriene, for keeping us all motivated and healthy! :)",UgyjGrzr0LkZnuar2yN4AaABAg,0.0,2.0,2021-03-27T13:54:07Z,0.9541715979576111
29.0,Alistair MacLeod’s No Great Mischief,UgwUnuE0qzLPGQSR5E94AaABAg,0.0,0.0,2021-03-27T11:49:50Z,-0.9961507320404053
30.0,🙏,UgwU4k-Jd0TvirjHtzp4AaABAg,0.0,0.0,2021-03-23T16:23:43Z,-0.6970567107200623
31.0,🕊,Ugw_ZEqeMAyG1UHFqGh4AaABAg,0.0,0.0,2021-03-23T16:23:31Z,-0.6970567107200623
32.0,Me and my girlfriend are doing your programs together—our favorite book right now is FANGS! 🧛🏾‍♀️🐺 P.S. we love Wu-Tang too,UgyoIkQqWw44f3OnVwZ4AaABAg,0.0,0.0,2021-03-13T03:09:53Z,0.953169047832489
33.0,"I have many favorite books, but the one that always comes to mind is""A Prayer for Owen Meany"", John Irving. I love this practice as I've been actively grateful for almost a year now and alot of it has been emphasized by my yoga practice and our teacher, Adriene. Since March 2020 I am more aware of being grateful for everything and everyone. I even started a  log that I record in every night. So, just thanks to all in this community and those who are not🙏🏻💚",Ugx19LGdtdPqqoZzjxl4AaABAg,0.0,0.0,2021-02-27T16:21:22Z,0.9992132186889648
34.0,"At the beginning when you were saying ""maybe its cold where you are"" - its snowing here in the UK! 🥶",UgyptGrUvUomnxXNn6d4AaABAg,0.0,0.0,2021-02-09T08:13:32Z,-0.9980373978614807
35.0,Favourite book at the moment is Eleanor Oliphant is completely fine. Funny but dark story of resilience.,Ugxl30JBFa__arzOVQJ4AaABAg,1.0,3.0,2021-02-07T18:19:38Z,0.9994437098503113
36.0,"Gratitude - after you hit rock bottom than everything, everything looks wonderful and you have some gratitude. This standing split grabbing your ankle - 2nd practice I've encountered this. It is a fact of physics that men have a center of gravity higher than women - so guys if this isn't intuitive take solace & then say ""dagnabbit I've got this"" so a new part of waking up and before bed.",Ugyq0Gji27dtOPJqMx54AaABAg,0.0,0.0,2021-02-07T15:35:01Z,0.9992700219154358
37.0,"I am grateful for all the beautiful signs from above, including number sequences. 555 comments ahead of mine 🙌 I am reading Alchemizing Judgement by Abigail Gazda! So good! Highly recommend! TYA!",UgwMMY6FnM7kEU1wK8d4AaABAg,0.0,0.0,2021-02-05T12:01:47Z,0.9998389482498169
38.0,"Does anyone feel like some days they are just so over the top excited for the practice and the 30-40 mins just flies by and other days they find themselves fighting to finish? Only got 20 min in today....not sure why, I usually love doing this",Ugxoa8vxEshAe6SQGcl4AaABAg,0.0,0.0,2021-01-31T17:09:22Z,-0.9851775765419006
39.0,Anyone else having trouble breathing in that full balasana pose? My tummy fat was squashing my lungs...,UgyFruosBC57qhvNG_14AaABAg,0.0,0.0,2021-01-20T22:21:39Z,-0.9991559982299805
40.0,Thank you :-),UgzxGgeEumFHLcol3bl4AaABAg,0.0,0.0,2021-01-06T08:40:40Z,0.9998243451118469
41.0,"Thank you Adriene, I started the practice at 11:23PM IST, and kick started the year 2021 feeling eternally grateful! 
Happy New Year, 

Namaste:)",UgyQgyvswUwjDSrxNxt4AaABAg,0.0,0.0,2020-12-31T19:06:04Z,0.9998480081558228
