,comment,comment_id,reply_count,like_count,updated_at,calificacion
28.0,"Doing this again after 4 years - am on day 120 of back to back yoga with you Adriene 🥰 I always scroll through comments before my practice as a motivator and finding a comment from myself from 4 years ago was an eye opener/shocker!! Still love you and always send loving and positive vibes your way post practice 🙏🏽 so grateful to you for giving us this incredible pathway to mind and body wellness full of laughter and lightness, depth and introspection, support and strength. More power to you Adriene!! Shine on you crazy diamond 😍",UgyMx_95AXnZJ5Vkvsp4AaABAg,0.0,1.0,2020-08-28T19:17:26Z,0.9998267292976379
29.0,"I believe in a thing called love, just listen to the rhythm of my heart...  I dig your practice sister!!!!",UgxIIaU6BG13h3dJ19B4AaABAg,0.0,0.0,2020-08-18T00:54:10Z,0.9997420907020569
30.0,My mom and I have been doing YWA (almost) every day since lockdown started in South Africa. This is our first practice apart because I've moved back into my own place. We both did this practice in our own homes but had to go solo for the massage. I miss her. Thank you for such a lovely routine to enjoy together while being apart Adriene!,UgxcKOn9PkAKCTkMHL14AaABAg,0.0,1.0,2020-08-06T06:19:18Z,0.9985880255699158
31.0,love you too xx thank you,Ugx90cbtA-rF_Rhz1_N4AaABAg,0.0,0.0,2020-07-31T06:28:41Z,0.999804675579071
32.0,🧘🏻‍♀️I switched days 21 @ 22 due to time constraints. This was the perfect workout for today. Lively and stimulating. Energetic. Thank you so much!🧘🏻‍♀️🙏🏻😍,UgwNh9iNHLaZ2KpEjFZ4AaABAg,0.0,0.0,2020-07-23T17:12:37Z,0.9998785257339478
33.0,Thank you 😘😘❣️❣️,UgySPKOmH3_tu4joLj14AaABAg,0.0,0.0,2020-06-29T02:26:13Z,0.9998127818107605
34.0,"""Today we're going to begin standing"" Ah crap 😂 So I *paused the video* and did some quiet sitting stretches first. Feels good to listen to what my body actually wanted! Also, the push ups were unexpected and a little fun! Never thought I'd say that 😂 #Day83",UgxpadILhBfn0ngxCqt4AaABAg,0.0,3.0,2020-06-27T05:32:11Z,0.9991497993469238
35.0,We did this one 2 days in a row! Is a good one! Thank you!,UgxlyNeZTcmrA4c_xV14AaABAg,0.0,1.0,2020-06-01T14:55:41Z,0.9998694658279419
36.0,"I surround myself with peace, love and understanding - Elvis Costello approves :)",UgyZqIUiHzl8-u0nFKt4AaABAg,0.0,1.0,2020-05-27T15:20:13Z,0.9997959733009338
37.0,"I surround myself with positive, creative and realistic energy",UgzFe67FK86xXCD1Ik14AaABAg,0.0,1.0,2020-05-27T08:14:12Z,0.9998805522918701
38.0,Puppies <3,Ugzh-PZcrw9YNYqBF3x4AaABAg,1.0,2.0,2020-05-22T20:03:53Z,0.775722086429596
