,comment,comment_id,reply_count,like_count,updated_at,calificacion
0.0,I celebrate life,UgxOjNCpEGUK6A3sEx54AaABAg,0.0,0.0,2021-12-21T05:53:08Z,0.9998748302459717
1.0,Today I celebrate 🥂 'Adriene's love's' birthday!,UgyDPNm1Fd1DSfVdsBZ4AaABAg,0.0,1.0,2021-12-19T23:05:57Z,0.9997487664222717
2.0,"Day 28, ✅
I celebrate where I am in my life, small progress and changes I’ve been making, and I celebrate me 🙏🏽❤️😊",Ugyoax6BRhxAAzICN1R4AaABAg,0.0,0.0,2021-12-04T14:40:43Z,0.9997074007987976
3.0,Brilliant 🙌🏻🙏🏻❤️,UgzINnzCG7qnL-Uqe_J4AaABAg,0.0,0.0,2021-11-13T13:08:54Z,0.9998617172241211
4.0,"I celebrate yoga with Adriene and the positive impact it continues to have on my life. 

❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️",Ugzh7OKKoe5IiwAHq854AaABAg,0.0,0.0,2021-11-01T03:04:12Z,0.9998254179954529
5.0,🙏❤️,UgyQCGsJF8SKdFWiaoZ4AaABAg,0.0,0.0,2021-10-27T01:39:20Z,-0.6970567107200623
6.0,"Oh, this looks good! I can't wait! (Doing my night b4 look thru)",UgzIQA6kyQaT8hV5dk14AaABAg,0.0,0.0,2021-10-13T04:28:24Z,0.9998226761817932
7.0,"The universe is funny, today marks the end of Sydney lockdown!!!! Timed perfectly, I celebrate a dozen natural oysters with friends at my favourite restaurant tonight 😁🌆",UgygFC3-RZTwRKCL7Ix4AaABAg,0.0,0.0,2021-10-10T22:45:27Z,0.9996476173400879
8.0,day 276 y'all,UgxGx5NCwMWdx_UYfdl4AaABAg,0.0,1.0,2021-09-28T23:38:13Z,0.9768144488334656
9.0,thank you!!!!!,UgzBYSw2e456MHg8NOB4AaABAg,0.0,1.0,2021-08-30T22:01:22Z,0.9998663663864136
10.0,I celebrate my miraculous messy journey. May I continue to find courage to keep showing up one breath at a time. My heart is so full.,UgzY_R_CZpCEFLzAYm54AaABAg,0.0,1.0,2021-08-29T03:19:32Z,0.9998230338096619
11.0,I celebrated a feeling of lightness. I feel fresh and bright.  ☀️,UgwX7_qiiFxHRHlsFqp4AaABAg,0.0,0.0,2021-08-25T00:18:41Z,0.9998846054077148
12.0,I celebrate the start of me being able to exercise again! 🎉,UgxtUbqQzujq5OWlnMt4AaABAg,0.0,1.0,2021-07-25T05:16:02Z,0.9996949434280396
13.0,I celebrate doing yoga everyday with this lovely motivating community! Namaste :),UgzBKYowpgGQHnB_C8h4AaABAg,0.0,2.0,2021-05-29T07:22:27Z,0.9998201727867126
14.0,Silly illy already. Hold on.,UgwpriH6hE84YNj9NDp4AaABAg,0.0,0.0,2021-05-15T06:16:23Z,-0.9835389852523804
15.0,Day 28 on May 5th... to each their calendar! A big 🙏 from sunny London.,UgweO5SrK4Ewu_iVEXF4AaABAg,0.0,0.0,2021-05-06T08:33:02Z,0.9971184730529785
16.0,You are awesome,Ugw4Bzm_JpmWl-GB8mF4AaABAg,0.0,0.0,2021-04-17T14:24:50Z,0.9998681545257568
17.0,"I celebrate getting to day 28!  Thank you Adreine for your calming, humourous words which keep me motivated even when it's not easy.",UgzSDSzKlLDfGY8JF6x4AaABAg,0.0,2.0,2021-04-06T07:53:10Z,0.9998476505279541
18.0,I had one more thing to celebrate by the end of this practice because I could reach back to my feet from pigeon!  On both sides!  👏✨🙏💕,UgwLE5EejKfv1u2AMTN4AaABAg,0.0,1.0,2021-03-28T04:56:56Z,0.9924449324607849
19.0,I celebrated 🙏💋,Ugws3Mbm3UmTFdS10O94AaABAg,0.0,0.0,2021-03-27T17:10:07Z,0.9997168183326721
20.0,"Just wanna say "" YOu  ARE  AWESOME """,UgwSCr4xmICDl7TyKRp4AaABAg,0.0,0.0,2021-03-23T04:05:51Z,0.9998435974121094
21.0,I celebrate having such an amazing mentor like you thank you 💙💙,Ugyo_gaghnCz1i4GisV4AaABAg,0.0,0.0,2021-03-01T21:29:18Z,0.9998643398284912
22.0,You were making me laugh so much today! I celebrate that 😂❤,Ugwf1lhGWJqEXqUYCRN4AaABAg,0.0,0.0,2021-02-10T08:18:52Z,0.9997941851615906
23.0,"I celebrate... me, my commitment to self care, ability to reach my foot for good quad stretch in penguin, how far I have come, love, and my amazing life ❤🧡❤ TYA!",UgyT86GNRn5SF0jgo994AaABAg,1.0,0.0,2021-02-08T11:26:03Z,0.9997562766075134
24.0,I celebrate Christmas Day in New Zealand!  Thank you Adriene for being there for me every day since March this year.  You've made 2020 the best year ever. A very merry Christmas  and a happy new year to you. x,UgygByw5zY7N7RFozMN4AaABAg,0.0,0.0,2020-12-24T22:14:31Z,0.9998806715011597
25.0,"Whoop, some serious shaking going on 🙌 I celebrate showing up for yoga 🧘‍♀️ thank you Adriene x namaste 🙏",UgxP4IHJjtIt7i2URvp4AaABAg,0.0,0.0,2020-11-10T19:29:54Z,0.9971461892127991
26.0,chose this (from Germany) in celebration of the results of the elections in the US today!,UgxOeeGhK4v0Yju2omx4AaABAg,0.0,1.0,2020-11-07T21:58:05Z,0.998376727104187
27.0,"While I was doing this practice, Biden and Kamala were announced as the next President and MADAM Vice President!! Such a wonderful celebration :)",UgxtJyMhBdkDFcIKE9p4AaABAg,0.0,4.0,2020-11-07T18:37:59Z,0.9998779296875
28.0,I celebrate yoga days. Thank you Adriene our yoga guru !,UgzXyywFOv_JJrw-pjZ4AaABAg,0.0,0.0,2020-10-21T11:59:30Z,0.9996635913848877
29.0,"Loved this session although was dizzy at times, hoping thats no big deal @adriene would love to hear from others out there doing this a bit late in the game.",UgxfkaEuVSU4DQi9H-R4AaABAg,0.0,0.0,2020-10-14T04:18:47Z,0.9979099631309509
30.0,Congratulations on the 8mil subscribers. Should be the fastest growing channel during this pandemic.,UgzITgCxfAlVzyFQaal4AaABAg,0.0,0.0,2020-09-01T02:53:18Z,0.9991748929023743
31.0,"I strayed from the Aug #ywaINQUIRE calendar today to practice a CELEBRATION YOGA in honour of my 365th day of practice!!!  Who knew when I decided to do my first Yoga With Adriene calendar that I would be here today!  

Daily practice has given me solace, focus, comfort, energy, love, accomplishment, clarity and an overall feeling of success in my life.  

Thank you so very much sweet Adriene for giving the world yoga, love, wisdom and dedication - you are a true inspiration - an example of how human beings should exist.  

Sending you so much love and gratitude for the gift of yoga.  I hope to practice with you in person!  

Thank you again, Namaste & Peace ~",UgwibG6v3IdnXO5qthF4AaABAg,0.0,1.0,2020-08-31T14:02:37Z,0.999858021736145
32.0,Stage 4 lockdown in Melbourne.  Your yoga camp helps me get through the day.  All good except for pigeon.  Won't happen.  Thanks,UgzTIubGX8qdETfmGSN4AaABAg,0.0,1.0,2020-08-06T03:44:56Z,0.9977520108222961
33.0,"I just wanted to say thank you again. I know there're so much going on in the world right now but we had a beef with our delivery company, we ordered some pretty expensive furniture and almost all of them come broken/cracked. I was crying, I was upset, annoyed, say, mad, disappointed...but literally my first thought was doing yoga...at 10 PM. And I did it! It helped me calm down and think things through and realize I really can't do anything about it until tomorrow so why stress about it? I celebrate the way my thinking have changed! I celebrate you Adriene! Thank you and thank you!",UgzbTuV5cLVgUOGDzfV4AaABAg,0.0,0.0,2020-08-02T20:32:56Z,0.9899188280105591
34.0,I Celebrate I made it through all of this Yoga Camp Day 26 which I missed a few days ago!  Thank you! I am Hooked on Yoga with Adrienne! 🧘🏻‍♀️🙏🏻🤩😘,UgyQb8KmBDpkvb3UXmx4AaABAg,0.0,0.0,2020-07-28T22:07:56Z,0.9994246959686279
35.0,Over here in 2020 I just got the results to say I'm Covid free.. I'll celebrate that! 🥳🙏,UgzylyOiNWmYFBvdoBh4AaABAg,0.0,4.0,2020-07-24T22:29:55Z,0.9996060729026794
36.0,Doing this on my birthday by chance! Crazy how relevant you always are. Thanks Adriene!,UgxuVXwif4Vt0qwA3dl4AaABAg,0.0,0.0,2020-07-22T20:31:22Z,0.9998430013656616
37.0,How funny Birthday Yoga 'I celebrate' random Universe gift x,Ugyd30bvLVRKz9K-MT94AaABAg,0.0,0.0,2020-07-20T07:42:03Z,0.9968370199203491
38.0,"""hop into something comfy"" don't need to tell me once",UgzZ6QJBiqMh6q_eJOh4AaABAg,0.0,2.0,2020-07-06T01:52:58Z,0.997643768787384
39.0,"I celebrate my body 🙂 I can't do that pigeon long stretch pose as my knees start to hurt, so I did child's pose instead. I celebrate that blissful feeling in shavasana where my body felt so calm, warm and tingly. 🙂 I celebrate having a day off work today! (The first one in a while!) Thank you 😊❤ #Day89",UgzspCJcAKW47jWBL8F4AaABAg,0.0,0.0,2020-07-03T09:41:25Z,0.9997476935386658
40.0,"I celebrate my body, for surviving, thriving and vibing",Ugw8AZKpztHwu9WbjJF4AaABAg,0.0,2.0,2020-06-02T16:50:33Z,0.9998657703399658
41.0,I celebrate the fact that I just finished all my classes and I am no longer a Senior! Never thought I would reach this day. I also celebrate your kindness and the fact that I only started yoga very recently but that I feel so much comfort in these practices. Thank you Adriene. I feel safe in these practices.,Ugyqqqbfx9gLoLtvHWt4AaABAg,0.0,3.0,2020-05-12T05:34:35Z,0.9998238682746887
42.0,"Hey missy, first I need you to know I think you are a great kinda person in your core. Second, I hear your voice and I know I gotta get my mat out and get down, did you ever notice that hear is just a heart without a 't'? 


Thank you for your genuine enthusiasm, thank you for being willing to meet everyone where they are, thank you for being someone out there that we can trust to catch us when we fall.


My whole life has changed since doing your 30-day yoga challenge this past January. 


A million unexplainable thank yous. We are so lucky that this platform makes this option available for you, and us.",UgzILVP-q3OXFGwVG2Z4AaABAg,0.0,1.0,2020-04-24T04:02:29Z,0.999725878238678
43.0,"Hey missy, first I need you to know I think you are a great kinda person in your core. Second, I hear your voice and I know I gotta get my mat out and get down, did you ever notice that hear is just a heart without a 't'? 


Thank you for your genuine enthusiasm, thank you for being willing to meet everyone where they are, thank you for being someone out there that we can trust to catch us when we fall.


My whole life has changed since doing your 30-day yoga challenge this past January. 


A million unexplainable thank yous. We are so lucky that this platform makes this option available for you, and us.",Ugz8b1GwKoAIcqBS3PJ4AaABAg,0.0,0.0,2020-04-24T04:02:29Z,0.999725878238678
44.0,Had a very emotional morning through obsorbing someone else's mood etc this has has helped shift my energy still feel bits of the others energy but will spend the day shifting it and getting back to my energy. See you tomorrow. Xx,UgxbseYcCIuDO9AH2D94AaABAg,0.0,2.0,2020-04-14T10:18:38Z,0.8519612550735474
45.0,It's Easter!!! Celebrating ‼🥳🥳🥳🤪He is risen!!,UgylWgdEstJc3nzKwtF4AaABAg,0.0,0.0,2020-04-12T14:04:59Z,0.9963647723197937
46.0,🥰you Adriene. Thank you so much,Ugx1JeO8MHtOrxY7aMp4AaABAg,0.0,2.0,2020-04-06T16:20:32Z,0.9998125433921814
47.0,"I celebrate Day 88 of yoga in 2020! In a world full of fear and chaos, I celebrate being alive today, come what may. Thank you Adriene 🙏",UgzsRymlTwTUrS_F7h54AaABAg,0.0,2.0,2020-03-29T22:51:19Z,0.9996953010559082
48.0,"We meet again, pigeon, my nemesis. haha",UgwJePXqDW3mj_B_tDx4AaABAg,0.0,2.0,2020-03-28T12:52:03Z,0.9983307719230652
49.0,this was AWESOME!! i am a genius for doing this practice on a day like this #quarantina Thank you Adriene! Love you 💕🍀,UgxJV434RBA-C8sm5CN4AaABAg,0.0,3.0,2020-03-27T15:50:59Z,0.9998310804367065
50.0,Celebrating a moment of peace in the midst of what is going around us.  Blessings to you Adriene and all of you xoxoxo Namaste,UgybfjbZirnsKKyLIsN4AaABAg,0.0,2.0,2020-03-22T23:13:27Z,0.9997950196266174
51.0,"I celebrate being healthy, happy and alive! I also celebrate being a ‘dog’ that was funny in practice today and yeah I was able to reach and touch my toes for the first time! Wow so much to celebrate and be thankful for. Thank you 🙏 xxx",UgxoGPg0qW5GdA-iF2l4AaABAg,0.0,3.0,2020-03-21T08:12:31Z,0.9998637437820435
52.0,"Today was the last time I read (out loud),  “Their  Eyes Were Watching God,”  as my husband took his last breath 8 years ago.  This workout was a celebration of his life for me 🙏🏻.",Ugy2x15DRkNwH29HYjB4AaABAg,0.0,4.0,2020-03-22T23:22:18Z,0.9948166012763977
53.0,Day28 Checked,UgwY7S5f4n7EMHSJW3d4AaABAg,0.0,1.0,2020-01-01T14:16:33Z,-0.5356233716011047
54.0,"I celebrate the journey 🙏 Difficult day, see you tomorrow.",Ugz5Z1GpKRkqXuVZEBB4AaABAg,2.0,1.0,2019-12-28T09:35:46Z,0.9994995594024658
55.0,"I celebrate day 88 in a row of Yoga with you, Adriene! It's also 12/12 and the last full moon of 2019 ;) I bought the light seers tarot deck today and now am going to and do a spread on 2020. I celebrate life, strength, peace and hope. ♡",UgyOdLELqRA-Zz3_sTN4AaABAg,0.0,0.0,2019-12-12T10:59:36Z,0.9996389150619507
56.0,Day 28! I celebrate the fact that Adriene incorporated many child poses into this session! I also celebrate that I can go home next week and see family and friends during the holidays! 💚,UgzEZKmNs7aUJgFLZ1B4AaABAg,0.0,5.0,2019-12-10T04:19:51Z,0.9996066689491272
57.0,"I got off track but now I am back! YASSS. Hahahah I've had such busy days and was only able to do some 7-minute or 5-minute yoga practice each day. So grateful and thankful that I'll be on my mat longer today. So excited for this practice. ;) Thanks in advance, Adriene! Will probably drop by again after I'm done. Haha ♥♥♥

***Done! The mantra is soo timely! #ICelebrate Mah Return! Thanks again, Adriene! Much love ♥ Namaste everyone!",Ugxu_Ffn6fyihsDWRd54AaABAg,0.0,1.0,2019-12-07T16:40:16Z,0.9983468055725098
58.0,🎊👍🧘🏻‍♂️🙏🎉,Ugy8BmrGLIFiNabbHoN4AaABAg,0.0,1.0,2019-12-07T04:53:07Z,-0.6970567107200623
59.0,"This mantra really aligns with how I feel. Today I will be attending a funeral for a dear friend of mine. Today I celebrate his life 💛 thanks, Adriene!",UgwXGXVnV9M-j5WruzZ4AaABAg,1.0,1.0,2019-12-01T23:57:08Z,0.9997221827507019
60.0,"I Celebrate... our 2019 made with love Christmas Tree 🎄
I Celebrate... a special day with my family 👨‍👩‍👧‍👦
I Celebrate... falling leaves 🍂
I Celebrate... falling in love again ✨
I Celebrate... Angels, in whatever shape they may reach us [be it without wings, from over the ocean, on a magic mat 🌊🌈🧘‍♀️]
🙏 Namaste, Adriene 
...anyway, I will not celebrate my breath today... it was more sort of a snorting stuff rather than any victory breathing 🤦‍♂️😅",UgxUfsvBxBM9gl6_cGx4AaABAg,0.0,2.0,2019-12-01T22:12:52Z,-0.9851002097129822
61.0,"today i have a headache and am angry about something and with that i started this video. and i love these hip things and i usually enjoy them, but today i dont and now i finished the video and i dont feel better at all. what a waste of a good video.",UgxdN94CyO5hdb3HSOB4AaABAg,0.0,1.0,2019-11-29T18:59:34Z,-0.998910665512085
62.0,"Loved this practice! I have one question though: what is more important to focus on during one-leg pigeon pose: that my front leg shin is parallel to the front of the mat or that my pelvis is as low (close to the mat) as possible? I am asking because since I started yoga camp, I noticed that it has become easier for me to put the shin in a parallel position; however, my pelvis is higher compared to when I leave my shin closer to a ""diagonal"".",UgwzZ-OXvNbjJvH6y714AaABAg,1.0,0.0,2019-11-29T17:04:48Z,0.7545160055160522
