,comment,comment_id,reply_count,like_count,updated_at,calificacion
0.0,Day 21! I believe starting to do yoga made me a better version of myself. I believe that I'll keep daily yoga in my routine for a long time. I believe in myself!,UgygWodvb8ee4zINCM14AaABAg,0.0,2.0,2022-02-25T17:58:47Z,0.998871386051178
1.0,I believe in a thing called love,Ugy3abuCh3WkurGus-t4AaABAg,0.0,0.0,2022-01-21T15:01:38Z,0.9997063279151917
2.0,"I know it's an old video, but I am doing this 30 day yoga camp now (not going to lie -- it's been over the course of a few months). I just wanted to share how magical this particular video has come into my life. It's the last day of 2021, and I am manifesting so many things this morning. I love that day ""21"" has come on this day, and tomorrow the first day of 2022, I know day ""22"" will be exactly what I need. Thank you , Adriene, for spreading your magic through this video into this lovely community!",UgwROd88xVLlCtvTFCd4AaABAg,0.0,0.0,2021-12-31T12:47:18Z,0.9997380375862122
3.0,I believe in myself; both the creative and logical side of me,UgzsN8ebqCQG6RmJKnd4AaABAg,0.0,0.0,2021-12-15T07:38:32Z,0.999760091304779
4.0,"Songs with I believe in them:
I believe in a thing called love - The darkness
You sexy thing – hot chocolate",Ugy-D8X6LPcmmHrB9Y94AaABAg,0.0,0.0,2021-12-12T09:45:28Z,0.9994361996650696
5.0,Sam garrat I believe. Such a good song,Ugwdeebitpg0kdVvhOt4AaABAg,0.0,0.0,2021-12-08T22:48:35Z,0.9998328685760498
6.0,Don't stop believing! Hold onto that feeelinng! Adrirne you rock! Thanks for keeping me smiling during your yoga videos!🥰💜,Ugw_cFj4PZZi8I2fu8h4AaABAg,0.0,0.0,2021-12-02T19:02:41Z,0.9992625117301941
7.0,"Day 21 I Believe in myself and my abilities. 
Song: “I still believe” Mariah Carey “when you believe” Mariah Carey f/Whitney Houston",UgzUQA-FO8lfU9JUNM54AaABAg,0.0,0.0,2021-11-20T14:59:55Z,0.9994213581085205
8.0,"Believe by Mumford and Sons  /  Believer  by Imagine Dragons ..... so enjoying yoga camp, thank you",Ugyx2Shf-NT3PQ0Hjqh4AaABAg,0.0,0.0,2021-11-16T08:34:56Z,0.9997726082801819
9.0,Love you Adrine ❤️ thank you so much ❤️🙏🙏 नमस्ते 🙏🙏,UgxUPqeEdv4GjO1ZQR94AaABAg,0.0,0.0,2021-11-10T00:40:32Z,0.998267412185669
10.0,Thank you so much ❤️ aAdrin ❤️,Ugzq51hVuXWObUCH4gR4AaABAg,0.0,0.0,2021-11-09T07:09:34Z,0.9998015761375427
11.0,"My favorite song..

I believe in dreams. . .🎶
I believe in miracles. . .🎶
I believe in toy balloons. . .🎶
Can reach and touch the moon...woohhhh..🎶 🎶 🎶",Ugw-EISpuhVhDsW5gTl4AaABAg,0.0,0.0,2021-10-27T04:32:55Z,0.9924901127815247
12.0,"Before your time - a song that goes, ""I believe for every drop of rain that falls/ a flower grows/ I believe that somewhere in the darkest night/a candle glows - etc.""",Ugx9aebqf9va1EyhGNt4AaABAg,0.0,0.0,2021-10-17T22:23:39Z,0.9659504294395447
13.0,🙏❤️,UgyrvXKhO2q2u_yfnfF4AaABAg,0.0,0.0,2021-10-09T03:17:13Z,-0.6970567107200623
14.0,Namaste🌺,Ugyy8aO-w7h068F4XyZ4AaABAg,0.0,0.0,2021-10-07T18:29:11Z,-0.6970567107200623
