,comment,comment_id,reply_count,like_count,updated_at,calificacion
0.0,"This practice is dedicated to ""Move!""",Ugxnk2mFYqKRwlEUtPJ4AaABAg,0.0,2.0,2021-12-23T03:36:39Z,0.9994949102401733
1.0,"I’m starting a journey of connecting more to myself, so I’m super excited to also start yoga revolution. The first 30 day program I took with you was a few years ago, and it changed my life, so let’s see what this one brings",UgwRP_Ve4hizIpMpL714AaABAg,0.0,0.0,2021-10-27T17:42:59Z,0.9995761513710022
2.0,October 2021 crew,UgwyfVYuzxZAct_gLjp4AaABAg,0.0,0.0,2021-10-01T10:46:56Z,0.997063934803009
3.0,a light worker from Taiwan starting on 2021/10/01 :-),UgxBMj0VuXpvvHvwxmh4AaABAg,0.0,0.0,2021-09-30T12:26:04Z,0.9017636775970459
4.0,Just finishing yoga camp again September 2021 and heading to the revolution for October 2021!,Ugws3OYtTjT5EHmbS0Z4AaABAg,0.0,0.0,2021-09-29T19:24:36Z,0.9036481380462646
5.0,"Starting today Yoga Revolution  
 🙏",UgxG6f6KSvApcykkCax4AaABAg,0.0,0.0,2021-08-28T15:22:38Z,0.9815661907196045
6.0,"I have done 'home', '30days yoga', and today I start with revolution.",UgwdBPP40e7F8B-yHN14AaABAg,0.0,0.0,2021-08-18T03:23:50Z,0.995614767074585
7.0,looking forward to august!,UgyQ3LyWMJfvSPa2Djl4AaABAg,0.0,0.0,2021-07-28T22:48:35Z,0.9998301267623901
8.0,July 2021 gang where you at?,UgwFAvpgZPFyW4Oz-gx4AaABAg,0.0,0.0,2021-07-22T14:32:18Z,-0.795548677444458
9.0,Starting with revolution today 4/07/2021😇❤,UgxmUXsooXIMnhOPmLl4AaABAg,0.0,0.0,2021-07-04T05:47:09Z,0.979607105255127
10.0,Can we get the name of the soundtrack? I love it!!!,Ugxd9FkkBxaBDtIoYG54AaABAg,0.0,0.0,2021-05-26T13:20:12Z,0.9998358488082886
11.0,4 years ago...and now I'm doing this to get over my Covid Induced anxiety❤thank you,Ugyu3mN8U0I788RtrYF4AaABAg,0.0,1.0,2021-05-24T01:54:17Z,-0.9928474426269531
12.0,"So I found my revolution calendar from 4? Years ago, I did the first 10 days and it frazzled from there. But my notes on the practices were so positive, so here I am, May 2021, starting over. Anyone else? 
Thanks Adriene, as always! 💐",Ugzn3FQ1vlN0uz4SyVR4AaABAg,0.0,0.0,2021-05-12T08:46:41Z,0.9935593605041504
13.0,"I started Breath on Jan 1st this year,  followed by Home and  I've just completed day 30 of True,   90 days of yoga in 96 days!   I will continue tomorrow and start Revolution.   Thank you Adrienne for these amazing programs.",UgxGVZEb87k7Wz2dKMl4AaABAg,0.0,0.0,2021-04-06T05:47:58Z,0.9998186230659485
14.0,I'm starting in March 2021!,Ugzpnkf6ubqMN1ioja14AaABAg,0.0,0.0,2021-03-25T13:13:36Z,0.9987406134605408
15.0,I've floated in and out of yoga for years and revolution day 1 was my first video I ever saw of adriene. I've always wanted to complete all 31 days but I never have. I'm here in 2021 to start again and do all 31 days this time!,UgzYdr2MHcvaEC9Uzpt4AaABAg,0.0,0.0,2021-03-22T01:48:50Z,0.9969256520271301
16.0,Love you so much ♥️♥️♥️✨✨✨,UgyYHCEFBAEZarbMhbB4AaABAg,0.0,0.0,2021-03-05T14:15:08Z,0.9998313188552856
17.0,"Starting this after completing HOME, this will be my second 30 day challenge and I'm really excited even tho I'm 'late'. 

Goodluck 🤍",Ugy7lpEW8Sw2dERbKEZ4AaABAg,0.0,1.0,2021-02-10T09:20:58Z,0.9982818365097046
18.0,Thank you so much❤️❤️❤️❤️❤️❤️,Ugw8WCgfIf8Ha_kwI3h4AaABAg,0.0,0.0,2020-12-12T14:01:15Z,0.9998251795768738
19.0,Here in December 2020. Moving into a new house and I'll need to find my zen!!,Ugx0aeYpmNa-O6o8K-h4AaABAg,0.0,0.0,2020-12-09T20:23:57Z,-0.9958456158638
20.0,"This was recommended to me.  At the beginning of December 2020, I'm halfway through the 30 Days of Yoga playlist, and I'm excited to continue the practice into 2021.",UgzQNiz_RZyw3Ukk1cp4AaABAg,0.0,0.0,2020-12-04T16:40:17Z,0.9989005327224731
