,comment,comment_id,reply_count,like_count,updated_at,calificacion
0.0,"I wish I could show you,
When you are lonely or in darkness,

The Astonishing Light
Of your own Being!
HAFIZ

How are you feeling after today's LOVE practice?",Ugy0jnZhVX7xDg-CCBp4AaABAg,101.0,1135.0,2021-01-26T14:31:27Z,0.9975799322128296
1.0,My body is struggling not feeling so supple. None the less so glad I showed up and gave it some love.,UgyJIXg7OZon8DqV6NR4AaABAg,0.0,0.0,2022-02-24T17:40:12Z,0.9989832043647766
2.0,The world is a better place with you in it.,UgzSrzVya6tAydNzVDp4AaABAg,0.0,0.0,2022-02-21T17:31:59Z,0.9996473789215088
3.0,"OMG!!!! Ive beeen doing this 30 day challenge at my own pace sin January and today is LOVE and its also Feb 14. Landed so perfectly the way the universe works, thank you❤",Ugzvy5lfkAjQ4od4glB4AaABAg,0.0,0.0,2022-02-14T15:00:26Z,0.999646782875061
4.0,Can’t do the horsey breathe…😂,UgxVYv32G1JZVV08dot4AaABAg,0.0,0.0,2022-02-10T21:08:52Z,-0.9984073042869568
5.0,Thanks for this ❤️,Ugyp3u9dVzfIyOr2RY54AaABAg,0.0,0.0,2022-02-10T11:50:47Z,0.9995521903038025
6.0,🙏💜🌸,Ugz_Se2vCWrEf1ArW1h4AaABAg,0.0,0.0,2022-02-07T17:17:23Z,-0.6970567107200623
7.0,"This yoga practice is the only thing I look forward to in a day.  I don't always get to it but when I do, I am so happy.  Thank you lovely Adrienne.  I tell everyone I know to watch your videos.  You are the embodiment of love <3",Ugy2DA91-_S2tBdunTx4AaABAg,0.0,0.0,2022-02-03T15:19:34Z,0.9998660087585449
8.0,Opening my eyes to see Benji sitting on Adriene 😅,UgyXSql3n-iXr4IfEip4AaABAg,0.0,0.0,2022-02-02T09:09:32Z,0.9976077079772949
9.0,Great practice - best part was Beni on the burrito ending.  Love it. Thanks Andriene,UgyAHUzMq1DiX5zrsFF4AaABAg,0.0,0.0,2022-01-25T12:37:48Z,0.9998503923416138
10.0,"None of the practices have been overally emotional for me until this one 🥺 i shed a tear when you said, ""lets look at your beautiful hands."" ""you are love."" i needed to hear that today. Thank you for your amazing practices and thanks to Benji too for always being a good pupper <3",UgxnX8TYG8w4dHaxCzN4AaABAg,0.0,0.0,2022-01-22T06:43:51Z,0.999828577041626
11.0,Thank You!,UgwxNz-8lSd6lvmdvux4AaABAg,0.0,0.0,2022-01-20T12:46:25Z,0.9998581409454346
12.0,😊,Ugy_09Onf5xcCu6VFWN4AaABAg,0.0,0.0,2022-01-20T12:45:35Z,-0.6970567107200623
13.0,That was blessed ✨ the shift of perspective I needed.,Ugx8QGwB436QQ3t9k6t4AaABAg,0.0,0.0,2022-01-16T07:16:32Z,0.9987105131149292
14.0,DeC.27 : 0,UgyEKZQLxLNercGj9JZ4AaABAg,0.0,0.0,2021-12-28T08:32:33Z,-0.8346806168556213
15.0,This practise was opening my hearth to my love of self. X,UgwGzBi1jxkg5iHPLSZ4AaABAg,0.0,0.0,2021-12-27T07:55:55Z,0.9978304505348206
16.0,❤️❤️❤️✨✨✨❄️❄️❄️,UgzqwVM8_WO-rgVc0sB4AaABAg,0.0,0.0,2021-12-26T10:44:27Z,-0.6970567107200623
17.0,Poor benji lol,UgxMZxQ5hWk96nRJdgN4AaABAg,0.0,0.0,2021-12-26T03:38:30Z,-0.9992749094963074
18.0,In another life I’m marrying you Adrienne.,Ugx_AMNF3K5xeVzXVeV4AaABAg,0.0,1.0,2021-12-13T13:51:23Z,0.998630940914154
19.0,That was so cute when you were singing to benji. The song I sing to my cats is you are the love of my life you are the reason I'm alive and baby baby.... By the way I left you many comments and questions throughout this breath process it'd be awesome if you can reply xo,UgyuI524ZzzhxYi94DV4AaABAg,0.0,0.0,2021-12-10T21:57:56Z,0.9998204112052917
20.0,I showed my dog you singing to benji and he was confused.,Ugwvha31j396gqg0lLp4AaABAg,0.0,0.0,2021-11-23T22:21:43Z,-0.9958622455596924
21.0,"Here we go, JF. Another day in the books…",UgwMhuS45EKGXTJrTBl4AaABAg,0.0,0.0,2021-11-10T15:11:56Z,-0.9942728877067566
22.0,"Watched 1st min and adore Adrienne and Benji so much,  makes me smile🥰❤️😍💕😍",UgyI4JzEW4f-YTuDNvp4AaABAg,0.0,0.0,2021-11-06T18:16:17Z,0.995149552822113
23.0,Day25,UgxMtU95e0Y1eLQCQAR4AaABAg,0.0,0.0,2021-11-05T13:58:53Z,0.9883176684379578
24.0,I melted when I looked up to see Benji sitting on you at the end. What a special moment.,UgyV1ClySeJgGwEZLaJ4AaABAg,0.0,0.0,2021-10-30T19:33:18Z,0.9996912479400635
25.0,done,UgwYhFcq6P6WVIhfetV4AaABAg,0.0,0.0,2021-10-27T00:35:23Z,0.985146701335907
26.0,"The attention, the love we seek, is actually within. Those words resonate to me today. Thanks you Adriene. I would copy those in my journal as a reminder.",UgxOhxvhMjYiVSZ6G3d4AaABAg,0.0,0.0,2021-10-20T13:41:23Z,0.9997723698616028
27.0,"Thank you for today's practice. I'm going through a painful breakup, but I'm glad I showed up today. I remember a quote from the author of Atomic Habits ""The bad days are more important than the good days. I write and exercise when I don't feel like it, I maintain the habit. If I maintain the habit, then all I need is time.""

Thanks again, and I also just want to say, your words and guidance in these practices make all the difference.",UgxdNazOyORFLMBlLPp4AaABAg,0.0,0.0,2021-10-20T07:43:16Z,0.9978675842285156
28.0,"Great video, though my dog looked horrified by my horse lips.",Ugxy-i_PxngRVJHyF-54AaABAg,0.0,0.0,2021-09-27T23:11:00Z,0.9987034797668457
29.0,"After doing this 30 -day yoga journey a few times over now, this one remains our absolute favourite! By the end of the practice, we feel this new energy rising within and loads self-care vibes. Truly your channel and your approach to the practice of yoga gave us both new life during a very tough lockdown. We appreciate you and thank you for sharing your light with the world. Sending you loads of positive vibes  ☮️💟☮️💟☮️💟",UgwSnfwsovfWhwxiPEJ4AaABAg,0.0,0.0,2021-09-24T14:19:17Z,0.9995280504226685
30.0,Love this LOVE practice :) Funny thing! I actually have a burrito blanket ahaha so I wrap myself w the burrito blanket during the burrito style wrap :) I look up to see Benji casually sitting on you and that made my day complete <3 Thank you Adriene!,UgyIzLtX01bSBU6XS3h4AaABAg,0.0,0.0,2021-09-24T08:54:32Z,0.9995239973068237
31.0,Love love love!! So much love from my entire soul. I am so so grateful for this beautiful enriching moment I had tonight. First of all that beautiful moment of sing a song to Benji captured my heart. Then the most loving moment I’ve ever had with my own beautiful hands. I appreciate you so much Adriene. Big love ❤️,UgwN3boGMpiAzIVUpat4AaABAg,0.0,0.0,2021-09-18T08:38:40Z,0.9998699426651001
32.0,"""Love we seek is within "" -Adrienne ... I'm goin to tell this quote to myself everyday",UgzEF33hSqwsponqBil4AaABAg,0.0,0.0,2021-09-15T12:15:09Z,0.9996333122253418
33.0,"Me outside in a park trying to do yoga. People coming for asking what am I up to.  I am saying yoga, and andriene starting to sing to Benji I will always love you putting me in a strange situation ahahha",Ugy2BG306jlAf-jAQMt4AaABAg,0.0,0.0,2021-09-14T07:52:45Z,0.9990177154541016
34.0,Benji sitting on your legs at the end was everything!,Ugwja6EPp3JSlC3jjEd4AaABAg,0.0,0.0,2021-09-10T18:11:32Z,0.9879711270332336
35.0,Day 25 completed! 5more days to go! Yyyyyyayyy!,UgxYWBazR4x5ewPu6PF4AaABAg,0.0,0.0,2021-09-09T16:49:35Z,-0.6793482899665833
36.0,"Why did I start crying when you said When you show up for yourself, that’s an act of love 🥺",Ugzp_LVXDICVWamxoax4AaABAg,0.0,0.0,2021-09-04T18:13:23Z,0.9946264624595642
37.0,"Benji's so cute, she loves Adriene's voice <3",Ugx8l7gtfYLffvp6io94AaABAg,0.0,0.0,2021-08-30T16:53:02Z,0.9998400211334229
38.0,This practice is dedicated to love!!,UgxLDlSdHSEixCuA4EZ4AaABAg,0.0,1.0,2021-08-25T20:22:42Z,0.999834418296814
39.0,This was a lovely practice.  I decided to burrito in with you.  I felt my dog crawl up in my lap and I opened my eyes for a second and saw Benji had done the same.  So sweet!  Something’s going on here. ❤️,UgzYZRoxkUd-0pRNeah4AaABAg,0.0,0.0,2021-08-25T16:29:13Z,0.9995207786560059
40.0,"I love Adrienne. When I feel too weak and tired to start the class I turn it on to see how Benji is doing. Then I do the session. Then I feel less weak and tired. He has the correct response to everything. Showing up is always wonderful. Thank you.
PS: how is this filmed? Is a person there with camera and edited together?",Ugzr1_9DXhABqqVivlV4AaABAg,0.0,0.0,2021-08-25T13:53:13Z,0.9997984766960144
41.0,"Love DOG 
👍👍 🐕",UgyLmkdpH7vMd0-qo4p4AaABAg,0.0,1.0,2021-08-25T03:00:44Z,0.8831097483634949
42.0,Benji ❤️😂,UgwrqDNEu_N50iPcMTN4AaABAg,0.0,0.0,2021-08-18T11:32:05Z,0.9562015533447266
43.0,"ACH no, not the singing. Even Benji don't like it :D",UgxLn6G0-NzBa3j3D_t4AaABAg,0.0,0.0,2021-08-17T06:14:36Z,-0.9976305961608887
