,comment,comment_id,reply_count,like_count,updated_at,calificacion
0.0,Thank you!!!!!!!!,Ugz0Y-AMKUFsheC_nUR4AaABAg,0.0,0.0,2022-02-18T22:04:43Z,0.9998631477355957
1.0,"I love you, Adriene. You are so beautiful. Thank you",UgwdRYGAanrcgM8tDFd4AaABAg,0.0,1.0,2022-02-13T11:43:33Z,0.9998611211776733
2.0,Thank you my dear.. İ am really benefitting from these sessions. God bless you with the best of all good that exists..,Ugw5jF71gaQmTMcZYq54AaABAg,0.0,3.0,2021-12-18T03:31:23Z,0.999875545501709
3.0,"If you need a little more love today off your mat and you wanna spread more of this energy to those around you, listen to Price Tag by Jessie J. I always listen to it when I need to remind myself of what matters most: living in the moment as a form of self-love. So grateful to be here among you for another day. I love you all. Peace and love be in our hearts ❤",UgzqCSDEhpWxWlSa5hN4AaABAg,0.0,2.0,2021-11-25T12:48:40Z,0.9997735619544983
4.0,"First time saying those words to myself.. I’m going to make sure that it’s not the last. Thank you Adriene, always x",Ugwrsead7ORANm-Ejax4AaABAg,0.0,3.0,2021-11-19T20:24:29Z,0.9993665814399719
5.0,Yoga with Adriene helped me so much especially when I started two years ago after a break up in a long relationship. thank you so much for your energy and most importantly to guide us on how to love ourselves first. You are the best ♥️,Ugz7VyGia5H3bjTD4QB4AaABAg,0.0,2.0,2021-11-11T08:02:25Z,0.9998770952224731
6.0,"“And love
Says,

‘I will, I will
take care of you,’

To Everything that is
Near.”
Hafiz",UgxKfl_N3W3SocScgdd4AaABAg,0.0,2.0,2021-10-09T04:16:54Z,0.9992882609367371
7.0,"I’m still crying after I love you. I guess I still need to open my heart even more. Thank you beautiful soul. It’s been a long, long road. 
🎶 “ everything I do, I do it for you” (Words I need to sing to my own heart). Thank you Bryan Adams.",Ugzo626cMFSEuayUr3V4AaABAg,0.0,1.0,2021-09-21T14:50:26Z,0.9996541738510132
8.0,"""If you need it, take it. If not, leave it."" Adriene. So coherent!",Ugz4L4GclhAMVuPssbd4AaABAg,0.0,1.0,2021-09-18T08:45:32Z,0.9992344379425049
9.0,Love never ends,Ugzxx-pAOC3nXRkPdkR4AaABAg,0.0,1.0,2021-09-17T02:03:47Z,0.9987298846244812
10.0,This is also all the yoga I do each day!  Is it enough?,Ugz9TFCWobB6ONOjn314AaABAg,0.0,1.0,2021-08-21T14:26:44Z,0.9171919226646423
11.0,"So much love n love n love to my fave person in the whole world, my angel Adriene n beloved Benji <3 <3 <3",UgwNNX160_6zVIhIbGN4AaABAg,0.0,1.0,2021-08-07T16:54:08Z,0.9995768666267395
12.0,I have never said I love you to myself before.. i want to remember this moment forever.. thank you for this,UgzRVmG2WcgNeYs4TwB4AaABAg,0.0,3.0,2021-07-17T13:16:33Z,0.9998421669006348
13.0,"Adriene: *told me to squat
Me, an Asian: oh finally resting
Adriene: ...this position might be crazy...
Me: 😶",Ugw-4Dnwhli0sHFRDuR4AaABAg,0.0,2.0,2021-07-08T01:55:03Z,-0.9963055849075317
14.0,I love you ❤,UgxllUJcQAIvYvEXI7t4AaABAg,0.0,2.0,2021-07-05T07:08:02Z,0.9998258948326111
15.0,"Tears when I said I love you to myself. So powerful. Love, love, love this one much!! ❤ TYA ❤",UgzQ9N8XqTi-XPVgZgN4AaABAg,0.0,1.0,2021-07-01T10:16:50Z,0.9998341798782349
16.0,"Adriene: ""Whisper quietly to yourself 'I love you.'""

Me: (bursts into tears)",UgyLvRK7WMTl-7bNIB94AaABAg,0.0,0.0,2021-06-21T20:26:00Z,0.9993981122970581
17.0,I love you Adriene,UgxJjz8p96Fswvo9QmF4AaABAg,0.0,1.0,2021-06-12T15:03:46Z,0.9998341798782349
18.0,warm day today.,UgzRVxrEbiIVg2JEx2l4AaABAg,0.0,0.0,2021-06-08T20:43:15Z,0.9998637437820435
19.0,"I am really tired today, but I rolled out my yoga mat and did the practice anyway. I was yawning throughout and it was tough, and I'm still a bit short on energy, but wow, it is a lot better. This love, kindness, gentleness, all that Adriene has and shares with us, including sweet Benji❤️, is SO encouraging for me. I love yoga. And yes, I love myself.❤️ Whoever is reading this, you are worthy of love and all the amazing things, and you've come so far. You are always improving. Keep showing up. Remember you are loved, and can do anything you set your mind to.❤️ Namaste🙏",Ugz9J3UZWX9XzFe2vGh4AaABAg,0.0,3.0,2021-06-08T04:46:54Z,0.9996699094772339
20.0,"I've told so many other people, and pets, that I love them--but have never said this to myself. How can this cause so many tears? I don't know, but thank you Adriene for your seamless magic-making abilities.",UgxFDI4wIYZlwNcwZ_14AaABAg,0.0,1.0,2021-05-20T17:19:54Z,0.9997386336326599
21.0,Love by bts,UgzmP3SQYfalA_tid0x4AaABAg,0.0,1.0,2021-04-18T19:54:58Z,0.9998250603675842
22.0,thank you thank you thank you !,Ugy8LLctkIH179zmvjB4AaABAg,0.0,1.0,2021-04-12T09:46:25Z,0.9998602867126465
23.0,I started crying when the video ended and we had finished. I really needed this after a really bad day yesterday and I can’t thank you enough Adrienne for all that you do for us 🤍,UgwCCr6dxZ_MFkINxbl4AaABAg,1.0,2.0,2021-04-11T16:51:23Z,0.8500742316246033
24.0,"Saying I love you. Opened up a reflection. Yes I love the courageous, brave me who has survived. Who makes a difference in people’s lives. But I remember that I also love that slightly wild, free creative women who is hidden in me. I miss her and want to play and love her as well. Thank you for helping me to remember.",UgyHlYsHzw_PjaASS7B4AaABAg,1.0,4.0,2021-04-03T06:39:42Z,0.9998132586479187
25.0,"I just had such a breakthrough today too, just on the mat, positive affirmations about loving yourself and I just cried a bit because of how powerful it was to hear the words I love you directed to me, from me.  I stood in that moment for a good while after the yoga session ended and had tears of joy and acceptance of myself slowly falling down my face.  Thank you Adriene, thank you for everything.  I love you and all your hard work and just kindness and care for all of those that want to continue living and fighting for a better life ahead. ❤️♥️💪",UgxXzu_iNih5A_LiTr94AaABAg,0.0,1.0,2021-03-20T15:12:03Z,0.9995912909507751
26.0,"❤️ keeps us together, 🙏",UgwVO8dwZxllNES7rcd4AaABAg,0.0,1.0,2021-03-20T14:49:13Z,0.9994025230407715
27.0,This practice didn’t look anything like I expected from a LOVE theme but you know what ? I LOVEd it 💖,UgwS_ZQKpobXV5htYMl4AaABAg,0.0,1.0,2021-03-11T19:47:39Z,0.9995777010917664
28.0,That was beautiful ❤️,UgyYShNvvXw4kEWWIvd4AaABAg,0.0,1.0,2021-02-26T17:42:44Z,0.999811589717865
29.0,"Love love love! 

❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️",UgywgoCBBbFxPWZbjch4AaABAg,0.0,1.0,2021-02-20T13:58:48Z,0.9997525811195374
30.0,<3 sweat,Ugz_mOW1PEaQBM1w6Eh4AaABAg,0.0,1.0,2021-02-18T22:38:51Z,0.8745304346084595
31.0,"Thank you, Adriene, I feel loved (by me). I also love you",UgycufTGjG8FKp7Koc94AaABAg,0.0,1.0,2021-02-18T15:51:31Z,0.9998688697814941
32.0,"Good morning. While you were talking love near the end of your practice, I started singing Silly Little Love Songs in my head. Though my mind eyes did pivot, it was fun. Connects beautifully with yoga, right? Lyrics: You'd think people have had enough of these silly love songs.  Nope, not me. Need my love songs and need to keep my connection with yoga. I love you. I love me today. I will stay strong and steady. Okay, now I'm rambling. Namaste!",UgyhvF9j-AMxYzo0ldF4AaABAg,1.0,0.0,2021-02-18T12:39:57Z,0.9997177720069885
33.0,"Myself and boyfriend broke up yesterday after 7 years together.. And this is my practise today. Learning to love myself again through yoga, 
I just feel real crap, vulnerable, and alone. My heart aches so much. But I know I will get through it, yoga has taught me how strong I am, I'm grateful to be able to have these practises, which will comfort me during these times. 
Breathing lots of love in, and breathing lots of love out.",Ugx5YCFKKMZsGF6Mj8N4AaABAg,2.0,1.0,2021-02-18T10:45:33Z,0.9976056814193726
34.0,"I love you, Adriene!",Ugyg0oaEiqrpJNCdsZ94AaABAg,0.0,1.0,2021-02-14T17:35:44Z,0.9998643398284912
35.0,Love you x,Ugz8sFvJfIUxO1KeaM14AaABAg,0.0,1.0,2021-02-12T22:29:35Z,0.9998117089271545
36.0,"""I love you"" is such a powerful phrase and words. While I work to love myself, I will say that I love and am very thankful for Adriene, Benji, and this great community <3 

Namaste :)",Ugz8NTyEFoXHzPVFx2J4AaABAg,0.0,1.0,2021-02-09T20:49:06Z,0.9998335838317871
37.0,I thank you Adrien and as I received the global love I send you global love,Ugyx1Ng6WLMZk1WCugd4AaABAg,0.0,1.0,2021-02-07T19:36:52Z,0.9998700618743896
38.0,"I can't believe that I'm in day 18 already! This is the longest I got in 2 years trying the 30 yoga challenge. I'm so proud of myself, thank you so much ❤️",UgxML2Y8haKQzkcwhHB4AaABAg,0.0,0.0,2021-01-19T02:48:48Z,0.9984099864959717
39.0,"Love LOVE love, if love was a drug, people'd be like, stay away from that 💩, ya might loose ya house .. 😂😂😂 ... Dov Davidoff ...",UgxpmUBnG6NkZVvSZjh4AaABAg,0.0,0.0,2021-01-15T05:15:55Z,0.751072108745575
40.0,Love Potion Number 18,Ugx3FwBp8dJHNnPaXKN4AaABAg,0.0,0.0,2021-01-12T23:11:16Z,0.9938498139381409
41.0,"“Dare to love yourself
as if you were a rainbow
with gold at both ends.”
― Author-Poet Aberjhani,",Ugz9-Yj2zaMRNrJZOix4AaABAg,0.0,6.0,2021-01-06T00:50:54Z,0.9971676468849182
42.0,adrieneAll you ever need is love. Thank you.,UgxPZQVV5eS1gFkvFYp4AaABAg,0.0,1.0,2020-12-21T10:11:25Z,0.9998704195022583
43.0,"“There’s nothing you can make that can’t be made. There’s no one you can saved that can’t be saved. Nothing you can do but you can learn how to be you in time, it’s easy! All you need it LOVE....” 🎼The Beatles",UgwEr64QrEK6m-A1SFl4AaABAg,0.0,1.0,2020-12-19T18:16:48Z,0.9971580505371094
44.0,"My stomach started hurting this morning right before I started this practice. It felt almost 100% better after curling up in a ball and telling it ""I love you"" :)  Thanks Adriene and Benji",UgyEWFQNKRKIS_cn2Y54AaABAg,0.0,0.0,2020-12-18T19:32:16Z,0.9986763596534729
45.0,"Thank you for that! We should all love our Earth the same way ❤️ the new movie of David Attenborough said it all 
https://www.netflix.com/de-en/title/80216393?fbclid=IwAR2yEdZo6hSPDO5C58r1y27BvITPlid33bKbn7QianaJsG75W_1cbWGH2oQ",UgxUdQkrz96Gr8ZayDt4AaABAg,0.0,1.0,2020-12-11T08:07:01Z,0.9938381314277649
46.0,"Love doing daily yoga with you Adrienne, along with my hubby!",Ugy2J4s_IlLqlp6SWL94AaABAg,0.0,0.0,2020-12-10T21:22:02Z,0.9998261332511902
